"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://cheapestcarinsurancetulsa.com/cdn-cgi/l/email-protection","text/html","404","Not Found","Non-Indexable","Client Error","7","0.040","",""
"https://cheapestcarinsurancetulsa.com/blog/chart3_bar.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.173","",""
"https://cheapestcarinsurancetulsa.com/blog/chart3_pie.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.163","",""
"https://cheapestcarinsurancetulsa.com/blog/chart4_bar.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.171","",""
"https://cheapestcarinsurancetulsa.com/blog/chart1_pie.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.169","",""
"https://cheapestcarinsurancetulsa.com/blog/chart1_bar.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.165","",""
"https://cheapestcarinsurancetulsa.com/blog/chart2_pie.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.166","",""
"https://cheapestcarinsurancetulsa.com/blog/chart2_bar.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.162","",""
"https://cheapestcarinsurancetulsa.com/blog/chart5_pie.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.159","",""
"https://cheapestcarinsurancetulsa.com/blog/chart5_bar.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.160","",""
"https://accounts.google.com/gsi/client","text/html; charset=utf-8","403","Forbidden","Non-Indexable","Client Error","0","0.050","",""
"https://cheapestcarinsurancetulsa.com/blog/chart4_pie.png","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","3.190","",""
"https://cheapestcarinsurancetulsa.com/ai-automation-benefits-in-insurance-software-how-ai-enhances-efficiency-accuracy-and-customer-experience","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.112","",""
"https://cheapestcarinsurancetulsa.com/ai-automation-advantages-transforming-insurance-operations","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.078","",""
"https://cheapestcarinsurancetulsa.com/how-ai-solutions-transform-efficiency-in-insurance-software-for-independent-agents-and-agencies","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.084","",""
"https://cheapestcarinsurancetulsa.com/2025/10/09","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.089","",""
"https://cheapestcarinsurancetulsa.com/what-are-the-key-benefits-of-ai-automation-in-insurance","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","0","0.085","",""
